match_id,blue_win,blueChampionKill,blueFirstBlood,blueTowerKill,blueInhibitorKill,blueBaronKill,blueRiftHeraldKill,blueTotalGold,blueMinionsKilled,blueJungleMinionsKilled,blueAvgPlayerLevel,redChampionKill,redFirstBlood,redTowerKill,redInhibitorKill,redBaronKill,redRiftHeraldKill,redTotalGold,redMinionsKilled,redJungleMinionsKilled,redAvgPlayerLevel,blueDragonKill,blueDragonHextechKill,blueDragonChemtechKill,blueDragonFireKill,blueDragonAirKill,blueDragonEarthKill,blueDragonWaterKill,blueDragonElderKill,blueVoidgrubKill,blueAtakhanKill,redDragonKill,redDragonHextechKill,redDragonChemtechKill,redDragonFireKill,redDragonAirKill,redDragonEarthKill,redDragonWaterKill,redDragonElderKill,redVoidgrubKill,redAtakhanKill,redDragonChemtech_DragonKill,redDragonEarth_DragonKill,blueDragonHextech_DragonKill,redDragonHextech_DragonKill,blue1_championId,blue1_position,blue2_championId,blue2_position,blue3_championId,blue3_position,blue4_championId,blue4_position,blue5_championId,blue5_position,red1_championId,red1_position,red2_championId,red2_position,red3_championId,red3_position,red4_championId,red4_position,red5_championId,red5_position,redDragonWater_DragonKill,blueDragonFire_DragonKill,blueDragonChemtech_DragonKill,redDragonAir_DragonKill,blueDragonWater_DragonKill,redDragonFire_DragonKill,blueDragonEarth_DragonKill,blueDragonAir_DragonKill,redDragonElder_DragonKill,blueDragonElder_DragonKill,blueTeamChampions,redTeamChampions
KR_7648565285,TRUE,30,FALSE,9,1,1,1,69826,767,231,16.4,27,TRUE,4,0,0,0,59840,736,159,15.4,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,1,1,1,1,126,TOP,62,JUNGLE,4,MIDDLE,235,BOTTOM,80,UTILITY,83,TOP,234,JUNGLE,1,MIDDLE,236,BOTTOM,267,UTILITY,0,0,0,0,0,0,0,0,0,0,0,0
KR_7648524385,TRUE,25,FALSE,8,2,0,1,61098,750,227,15.4,18,TRUE,1,0,0,0,51945,705,165,14.4,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,150,TOP,76,JUNGLE,777,MIDDLE,235,BOTTOM,12,UTILITY,24,TOP,234,JUNGLE,893,MIDDLE,110,BOTTOM,111,UTILITY,1,1,2,0,0,0,0,0,0,0,0,0
KR_7648497975,FALSE,7,TRUE,0,0,0,0,23135,329,82,8.2,12,FALSE,3,0,0,0,31076,409,96,9.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,TOP,5,JUNGLE,7,MIDDLE,901,BOTTOM,526,UTILITY,76,TOP,80,JUNGLE,127,MIDDLE,236,BOTTOM,201,UTILITY,0,1,0,0,0,0,0,0,0,0,0,0
KR_7648457052,TRUE,35,FALSE,11,2,1,1,68190,800,211,16.6,20,TRUE,2,0,0,0,54792,707,131,14.4,1,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,114,TOP,876,JUNGLE,75,MIDDLE,235,BOTTOM,201,UTILITY,83,TOP,950,JUNGLE,901,MIDDLE,101,BOTTOM,12,UTILITY,2,0,1,1,0,0,0,0,0,0,0,0
KR_7648408599,TRUE,38,FALSE,8,1,0,1,60515,617,162,15.4,18,TRUE,1,0,0,0,49935,682,174,13.4,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,24,TOP,80,JUNGLE,517,MIDDLE,236,BOTTOM,267,UTILITY,79,TOP,876,JUNGLE,126,MIDDLE,145,BOTTOM,518,UTILITY,0,0,2,1,1,0,0,0,0,0,0,0
KR_7648366541,FALSE,10,TRUE,2,0,0,0,28932,385,96,9.6,17,FALSE,4,0,0,1,34375,404,126,10.2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,76,TOP,80,JUNGLE,1,MIDDLE,236,BOTTOM,267,UTILITY,126,TOP,5,JUNGLE,163,MIDDLE,235,BOTTOM,111,UTILITY,0,0,0,0,0,0,0,0,0,0,0,0
KR_7648146308,FALSE,25,TRUE,4,0,0,0,52881,651,149,13.6,35,FALSE,5,0,0,1,57523,673,171,15,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,83,TOP,163,JUNGLE,166,MIDDLE,498,BOTTOM,201,UTILITY,887,TOP,254,JUNGLE,42,MIDDLE,21,BOTTOM,497,UTILITY,0,0,0,0,1,0,0,0,0,0,0,0
KR_7647741035,FALSE,17,TRUE,2,0,0,0,49946,673,147,14,31,FALSE,8,1,1,1,60402,707,194,15.8,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,1,0,0,3,TOP,254,JUNGLE,13,MIDDLE,236,BOTTOM,267,UTILITY,68,TOP,78,JUNGLE,517,MIDDLE,498,BOTTOM,16,UTILITY,1,0,0,1,0,0,0,0,0,0,0,0
KR_7647441373,TRUE,29,FALSE,12,2,1,0,68884,832,214,16.4,32,TRUE,4,0,0,1,68805,845,233,16.6,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,1,0,0,887,TOP,80,JUNGLE,163,MIDDLE,81,BOTTOM,43,UTILITY,92,TOP,91,JUNGLE,85,MIDDLE,236,BOTTOM,111,UTILITY,0,1,1,0,0,0,0,0,0,0,0,0
KR_7647404734,TRUE,52,FALSE,8,1,1,0,80079,829,164,17.6,46,TRUE,7,1,1,1,78718,774,224,16.8,3,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,2,1,24,TOP,80,JUNGLE,163,MIDDLE,235,BOTTOM,111,UTILITY,23,TOP,254,JUNGLE,517,MIDDLE,136,BOTTOM,60,UTILITY,1,0,1,0,0,0,0,0,0,0,0,0
